Pattern,MatchesList,Use,Matches,Clue,Answer,Quality,Difficulty,Reviewed
f_rmer,"['former', 'farmer']",,former farmer,Erstwhile agriculturalist,Former farmer,1,,TRUE
for_er,"['former', 'forger', 'forcer']",,former forger forcer,,,,,TRUE
forme_,"['former', 'formed']",,former formed,,,,,TRUE
_iddle,"['middle', 'riddle', 'fiddle', 'diddle', 'kiddle', 'piddle', 'tiddle']",,middle riddle fiddle diddle kiddle piddle tiddle,,,,,TRUE
m_ddle,"['middle', 'meddle', 'muddle']",,middle meddle muddle,,,,,TRUE
_imple,"['simple', 'dimple', 'pimple', 'wimple', 'rimple']",,simple dimple pimple wimple rimple,,,,,TRUE
s_mple,"['simple', 'sample']",,simple sample,,,,,TRUE
si_ple,"['simple', 'sipple']",,simple sipple,,,,,TRUE
sim_le,"['simple', 'simile']",,simple simile,Straightforward analogy,Simple simile,3,,TRUE
simpl_,"['simple', 'simply']",,simple simply,,,,,TRUE
_roper,"['proper', 'groper']",,proper groper,Respectable but handsy,Proper groper,3,,TRUE
pro_er,"['proper', 'prover', 'proser']",,proper prover proser,,,,,TRUE
prope_,"['proper', 'propel', 'proped']",,proper propel proped,,,,,TRUE
_early,"['nearly', 'yearly', 'dearly', 'pearly', 'rearly']",,nearly yearly dearly pearly rearly,Not quite white teeth,Nearly pearly,3,,TRUE
nea_ly,"['nearly', 'neatly']",,nearly neatly,,,,,TRUE
_eight,"['weight', 'height']",,weight height,,,,,TRUE
w_ight,"['weight', 'wright']",,weight wright,,,,,TRUE
sta_ed,"['stated', 'stayed']",,stated stayed,Avowed and remained,Stated stayed,1,,TRUE
state_,"['stated', 'stater']",,stated stater,,,,,TRUE
re_ard,"['regard', 'reward', 'retard', 'renard']",,regard reward retard renard,Consider a prize,Regard reward,3,,TRUE
indi_n,"['indian', 'indign']",,indian indign,,,,,TRUE
_emand,"['demand', 'remand']",,demand remand,,,,,TRUE
_bject,"['object', 'abject']",,object abject,,,,,TRUE
_ntire,"['entire', 'intire']",,entire intire,,,,,TRUE
en_ire,"['entire', 'enfire']",,entire enfire,,,,,TRUE
enti_e,"['entire', 'entice']",,entire entice,Temp all,Entice entire,1,,TRUE
_anada,"['canada', 'panada']",,canada panada,,,,,TRUE
_enate,"['senate', 'renate']",,senate renate,,,,,TRUE
se_ate,"['senate', 'sedate', 'sebate']",,senate sedate sebate,Calm upper assembly,Sedate senate,3,,TRUE
_erman,"['german', 'merman']",,german merman,,,,,TRUE
germ_n,"['german', 'germen']",,german germen,,,,,TRUE
_urvey,"['survey', 'purvey']",,survey purvey,,,,,TRUE
sur_ey,"['survey', 'surrey']",,survey surrey,,,,,TRUE
_imply,"['simply', 'pimply', 'dimply']",,simply pimply dimply,,,,,TRUE
_oming,"['coming', 'homing']",,coming homing,,,,,TRUE
co_ing,"['coming', 'coping', 'coving']",,coming coping coving,,,,,TRUE
safe_y,"['safety', 'safely']",,safety safely,,,,,TRUE
i_land,"['island', 'inland']",,island inland,Land in a lake,Inland island,2,,TRUE
_ormed,"['formed', 'wormed']",,formed wormed,,,,,TRUE
for_ed,"['formed', 'forced', 'forked', 'forted']",,formed forced forked forted,,,,,TRUE
_ation,"['nation', 'ration', 'cation', 'lation', 'sation']",,nation ration cation lation sation,,,,,TRUE
n_tion,"['nation', 'notion']",,nation notion,,,,,TRUE
na_ion,"['nation', 'nasion']",,nation nasion,,,,,TRUE
nat_on,"['nation', 'natron']",,nation natron,,,,,TRUE
_ollow,"['follow', 'hollow', 'collow']",,follow hollow collow,,,,,TRUE
f_llow,"['follow', 'fellow', 'fallow']",,follow fellow fallow,PI,Follow fellow,3,,TRUE
_aster,"['master', 'faster', 'easter', 'caster', 'gaster', 'taster', 'waster', 'laster', 'paster']",,master faster easter caster gaster taster waster laster paster,Late great lent observer,Easter faster,2,,TRUE
m_ster,"['master', 'muster', 'mister', 'mester']",,master muster mister mester,,,,,TRUE
mas_er,"['master', 'masher', 'masker', 'masser']",,master masher masker masser,,,,,TRUE
maste_,"['master', 'masted']",,master masted,,,,,TRUE
statu_,"['status', 'statue', 'statua']",,status statue statua,Sculpture standing,Statue status,3,,TRUE
f_ctor,"['factor', 'fictor']",,factor fictor,,,,,TRUE
fa_tor,"['factor', 'fautor']",,factor fautor,,,,,TRUE
poli_e,"['police', 'polite', 'polive']",,police polite polive,,,,,TRUE
s_ring,"['spring', 'string']",,spring string,,,,,TRUE
spr_ng,"['spring', 'sprang', 'sprung', 'sprong']",,spring sprang sprung sprong,,,,,TRUE
sprin_,"['spring', 'sprint']",,spring sprint,,,,,TRUE
_ummer,"['summer', 'hummer', 'bummer', 'gummer', 'mummer', 'rummer']",,summer hummer bummer gummer mummer rummer,,,,,TRUE
s_mmer,"['summer', 'simmer']",,summer simmer,,,,,TRUE
sum_er,"['summer', 'sumner']",,summer sumner,,,,,TRUE
_emain,"['remain', 'demain']",,remain demain,,,,,TRUE
re_ain,"['remain', 'retain', 'regain']",,remain retain regain,,,,,TRUE
effor_,"['effort', 'efform']",,effort efform,,,,,TRUE
raise_,"['raised', 'raiser']",,raised raiser,,,,,TRUE
impa_t,"['impact', 'impart']",,impact impart,Share shock,Impart impact,2,,TRUE
_ighly,"['highly', 'nighly']",,highly nighly,,,,,TRUE
me_ely,"['merely', 'metely']",,merely metely,,,,,TRUE
_hrist,"['christ', 'thrist']",,christ thrist,,,,,TRUE
chris_,"['christ', 'chrism']",,christ chrism,,,,,TRUE
squ_re,"['square', 'squire']",,square squire,Nerdy lord,Square squire,,,TRUE
squa_e,"['square', 'squame']",,square squame,,,,,TRUE
in_ide,"['inside', 'incide']",,inside incide,,,,,TRUE
_elief,"['relief', 'belief']",,relief belief,,,,,TRUE
relie_,"['relief', 'relier']",,relief relier,,,,,TRUE
bud_et,"['budget', 'budlet']",,budget budlet,,,,,TRUE
budge_,"['budget', 'budger']",,budget budger,,,,,TRUE
an_mal,"['animal', 'anomal']",,animal anomal,,,,,TRUE
_ranch,"['branch', 'cranch']",,branch cranch,,,,,TRUE
b_anch,"['branch', 'blanch']",,branch blanch,,,,,TRUE
_rying,"['trying', 'drying', 'crying', 'frying', 'prying']",,trying drying crying frying prying,,,,,TRUE
_inter,"['winter', 'sinter', 'minter', 'cinter']",,winter sinter minter cinter,,,,,TRUE
win_er,"['winter', 'winner', 'winder', 'winger', 'winker', 'wincer']",,winter winner winder winger winker wincer,Cold complainer,Winter winger,3,,TRUE
_eaves,"['leaves', 'heaves']",,leaves heaves,,,,,TRUE
l_aves,"['leaves', 'loaves']",,leaves loaves,Drops off dough,Leaves loaves,3,,TRUE
leave_,"['leaves', 'leaved', 'leaven', 'leaver']",,leaves leaved leaven leaver,,,,,TRUE
_ouble,"['double', 'rouble']",,double rouble,,,,,TRUE
do_ble,"['double', 'doable']",,double doable,2x is a possibility,Double doable,2,,TRUE
doubl_,"['double', 'doubly']",,double doubly,,,,,TRUE
_ental,"['mental', 'dental', 'rental', 'cental']",,mental dental rental cental,,,,,TRUE
me_tal,"['mental', 'meatal']",,mental meatal,,,,,TRUE
men_al,"['mental', 'menial', 'mensal']",,mental menial mensal,,,,,TRUE
_aying,"['saying', 'laying', 'maying']",,saying laying maying,,,,,TRUE
s_ying,"['saying', 'snying']",,saying snying,,,,,TRUE
sa_ing,"['saying', 'saving']",,saying saving,,,,,TRUE
speec_,"['speech', 'speece']",,speech speece,,,,,TRUE
crea_e,"['create', 'crease', 'creaze']",,create crease creaze,,,,,TRUE
_iscal,"['fiscal', 'discal']",,fiscal discal,,,,,TRUE
_alley,"['valley', 'galley']",,valley galley,,,,,TRUE
v_lley,"['valley', 'volley']",,valley volley,,,,,TRUE
ma_ked,"['marked', 'masked']",,marked masked,,,,,TRUE
b_ston,"['boston', 'baston']",,boston baston,,,,,TRUE
_oving,"['moving', 'loving', 'roving', 'coving']",,moving loving roving coving,,,,,TRUE
mo_ing,"['moving', 'mowing']",,moving mowing,,,,,TRUE
centr_,"['centre', 'centry']",,centre centry,,,,,TRUE
p_ease,"['please', 'prease']",,please prease,,,,,TRUE
_ative,"['native', 'dative', 'sative']",,native dative sative,,,,,TRUE
_educe,"['reduce', 'deduce', 'seduce']",,reduce deduce seduce,,,,,TRUE
reduc_,"['reduce', 'reduct']",,reduce reduct,,,,,TRUE
_ermit,"['permit', 'hermit']",,permit hermit,Loner licence,Hermit permit,3,,TRUE
per_it,"['permit', 'perfit']",,permit perfit,,,,,TRUE
permi_,"['permit', 'permix']",,permit permix,,,,,TRUE
str_ss,"['stress', 'strass']",,stress strass,,,,,TRUE
asse_s,"['assets', 'assess']",,assets assess,Take stock,Assess assets,3,,TRUE
atta_k,"['attack', 'attask']",,attack attask,,,,,TRUE
attac_,"['attack', 'attach']",,attack attach,,,,,TRUE
_edium,"['medium', 'tedium']",,medium tedium,Mildly boring,Medium tedium,3,,TRUE
mediu_,"['medium', 'medius']",,medium medius,,,,,TRUE
_amage,"['damage', 'ramage']",,damage ramage,,,,,TRUE
d_mage,"['damage', 'domage']",,damage domage,,,,,TRUE
_earch,"['search', 'pearch']",,search pearch,,,,,TRUE
s_arch,"['search', 'starch']",,search starch,,,,,TRUE
searc_,"['search', 'searce']",,search searce,,,,,TRUE
s_lver,"['silver', 'solver', 'salver']",,silver solver salver,,,,,TRUE
sil_er,"['silver', 'siller']",,silver siller,,,,,TRUE
acce_t,"['accept', 'accent']",,accept accent,,,,,TRUE
_ridge,"['bridge', 'fridge']",,bridge fridge,,,,,TRUE
bri_ge,"['bridge', 'brigge']",,bridge brigge,,,,,TRUE
brid_e,"['bridge', 'bridle']",,bridge bridle,,,,,TRUE
injur_,"['injury', 'injure']",,injury injure,,,,,TRUE
sche_e,"['scheme', 'schene']",,scheme schene,,,,,TRUE
schem_,"['scheme', 'schema']",,scheme schema,,,,,TRUE
_ector,"['sector', 'vector', 'rector', 'hector', 'lector']",,sector vector rector hector lector,,,,,TRUE
_ravel,"['travel', 'gravel']",,travel gravel,,,,,TRUE
pro_it,"['profit', 'prosit']",,profit prosit,,,,,TRUE
_attle,"['battle', 'cattle', 'rattle', 'wattle', 'tattle']",,battle cattle rattle wattle tattle,,,,,TRUE
b_ttle,"['battle', 'bottle']",,battle bottle,,,,,TRUE
bat_le,"['battle', 'batule']",,battle batule,,,,,TRUE
batt_e,"['battle', 'battue']",,battle battue,,,,,TRUE
exc_ss,"['excess', 'excuss']",,excess excuss,,,,,TRUE
win_ow,"['window', 'winnow', 'winrow']",,window winnow winrow,,,,,TRUE
_etail,"['detail', 'retail']",,detail retail,,,,,TRUE
de_ail,"['detail', 'derail', 'defail']",,detail derail defail,,,,,TRUE
detai_,"['detail', 'detain']",,detail detain,,,,,TRUE
_ining,"['mining', 'dining', 'lining', 'fining', 'pining']",,mining dining lining fining pining,,,,,TRUE
mi_ing,"['mining', 'miting']",,mining miting,,,,,TRUE
_roken,"['broken', 'wroken']",,broken wroken,,,,,TRUE
broke_,"['broken', 'broker']",,broken broker,,,,,TRUE
ex_ect,"['expect', 'exsect']",,expect exsect,,,,,TRUE
expe_t,"['expect', 'expert']",,expect expert,Anticipate a pro,Expect expert,3,,TRUE
ac_ing,"['acting', 'aching']",,acting aching,Faking tummy woes,Acting aching,1,,TRUE
_ought,"['sought', 'bought', 'fought', 'nought', 'rought', 'mought']",,sought bought fought nought rought mought,,,,,TRUE
_ellow,"['yellow', 'fellow', 'mellow', 'bellow']",,yellow fellow mellow bellow,,,,,TRUE
d_ctor,"['doctor', 'ductor']",,doctor ductor,,,,,TRUE
_anger,"['danger', 'ranger', 'hanger', 'manger', 'ganger', 'wanger']",,danger ranger hanger manger ganger wanger,Big risky space,Danger hanger,2,,TRUE
da_ger,"['danger', 'dagger']",,danger dagger,,,,,TRUE
dan_er,"['danger', 'dancer', 'dander']",,danger dancer dander,,,,,TRUE
_evere,"['severe', 'revere']",,severe revere,,,,,TRUE
sever_,"['severe', 'severy']",,severe severy,,,,,TRUE
_arine,"['marine', 'narine', 'warine', 'larine']",,marine narine warine larine,,,,,TRUE
m_rine,"['marine', 'murine']",,marine murine,,,,,TRUE
mar_ne,"['marine', 'marone']",,marine marone,,,,,TRUE
_ecure,"['secure', 'recure']",,secure recure,,,,,TRUE
car_on,"['carbon', 'carton']",,carbon carton,,,,,TRUE
carbo_,"['carbon', 'carboy']",,carbon carboy,,,,,TRUE
_welve,"['twelve', 'swelve']",,twelve swelve,,,,,TRUE
force_,"['forced', 'forcer']",,forced forcer,,,,,TRUE
_arden,"['garden', 'warden', 'harden']",,garden warden harden,Protector of plants,Garden warden,3,,TRUE
gard_n,"['garden', 'gardon']",,garden gardon,,,,,TRUE
_eform,"['reform', 'deform']",,reform deform,,,,,TRUE
_ancer,"['cancer', 'dancer', 'lancer']",,cancer dancer lancer,,,,,TRUE
can_er,"['cancer', 'canker', 'canter']",,cancer canker canter,,,,,TRUE
cance_,"['cancer', 'cancel']",,cancer cancel,,,,,TRUE
w_iter,"['writer', 'waiter']",,writer waiter,,,,,TRUE
a_sume,"['assume', 'absume']",,assume absume,,,,,TRUE
assu_e,"['assume', 'assure']",,assume assure,,,,,TRUE
_opper,"['copper', 'hopper', 'popper', 'topper', 'sopper', 'dopper', 'lopper']",,copper hopper popper topper sopper dopper lopper,,,,,TRUE
c_pper,"['copper', 'capper', 'cupper']",,copper capper cupper,,,,,TRUE
co_per,"['copper', 'cooper']",,copper cooper,,,,,TRUE
cop_er,"['copper', 'copier', 'copyer']",,copper copier copyer,,,,,TRUE
coppe_,"['copper', 'copped', 'coppel']",,copper copped coppel,,,,,TRUE
vesse_,"['vessel', 'vesses']",,vessel vesses,,,,,TRUE
_eader,"['reader', 'leader', 'header']",,reader leader header,,,,,TRUE
re_der,"['reader', 'render']",,reader render,,,,,TRUE
rea_er,"['reader', 'reaper', 'reamer', 'reaver', 'rearer']",,reader reaper reamer reaver rearer,Death's guardian,Reaper rearer,2,,TRUE
devi_e,"['device', 'devise']",,device devise,,,,,TRUE
pr_nce,"['prince', 'prance']",,prince prance,Royal strut,Prince prance,2,,TRUE
car_er,"['career', 'carter', 'carver', 'carper', 'carder']",,career carter carver carper carder,,,,,TRUE
caree_,"['career', 'careen']",,career careen,,,,,TRUE
_ainly,"['mainly', 'vainly', 'gainly']",,mainly vainly gainly,,,,,TRUE
_ister,"['sister', 'mister', 'lister', 'bister', 'dister']",,sister mister lister bister dister,,,,,TRUE
s_ster,"['sister', 'suster']",,sister suster,,,,,TRUE
si_ter,"['sister', 'sitter', 'sinter', 'sifter']",,sister sitter sinter sifter,,,,,TRUE
l_ader,"['leader', 'loader']",,leader loader,,,,,TRUE
le_der,"['leader', 'lender']",,leader lender,,,,,TRUE
lea_er,"['leader', 'leaver', 'leaper', 'leamer', 'leaser']",,leader leaver leaper leamer leaser,,,,,TRUE
leade_,"['leader', 'leaden', 'leaded']",,leader leaden leaded,,,,,TRUE
aven_e,"['avenue', 'avenge']",,avenue avenge,Retribution road,Avenge avenue,3,,TRUE
c_osen,"['chosen', 'closen']",,chosen closen,,,,,TRUE
_nsure,"['ensure', 'insure']",,ensure insure,,,,,TRUE
en_ure,"['ensure', 'endure', 'enmure']",,ensure endure enmure,,,,,TRUE
fo_mal,"['formal', 'fotmal']",,formal fotmal,,,,,TRUE
form_l,"['formal', 'formyl']",,formal formyl,,,,,TRUE
forma_,"['formal', 'format']",,formal format,Traditional layout,Formal format,3,,TRUE
_nable,"['unable', 'enable', 'inable']",,unable enable inable,,,,,TRUE
u_able,"['unable', 'usable']",,unable usable,,,,,TRUE
ex_ort,"['export', 'exhort', 'extort']",,export exhort extort,Outsource urging,Exhort export,1,,TRUE
exp_rt,"['export', 'expert']",,export expert,,,,,TRUE
s_ream,"['stream', 'scream']",,stream scream,Live web yell,Scream stream,,,TRUE
str_am,"['stream', 'stroam']",,stream stroam,,,,,TRUE
strea_,"['stream', 'streak']",,stream streak,,,,,TRUE
ad_ice,"['advice', 'addice']",,advice addice,,,,,TRUE
advi_e,"['advice', 'advise']",,advice advise,,,,,TRUE
fello_,"['fellow', 'felloe', 'fellon']",,fellow felloe fellon,,,,,TRUE
re_ove,"['remove', 'relove']",,remove relove,,,,,TRUE
rem_ve,"['remove', 'remeve']",,remove remeve,,,,,TRUE
remo_e,"['remove', 'remote']",,remove remote,Swipe the channel changer,Remove remote,2,,TRUE
_retty,"['pretty', 'fretty']",,pretty fretty,Quite anxious,Pretty fretty,2,,TRUE
s_rike,"['strike', 'shrike', 'skrike']",,strike shrike skrike,,,,,TRUE
str_ke,"['strike', 'stroke', 'strake']",,strike stroke strake,,,,,TRUE
stri_e,"['strike', 'strive', 'strife', 'stripe', 'stride']",,strike strive strife stripe stride,Walkout problems,Strike strife,3,,TRUE
_arrow,"['narrow', 'marrow', 'barrow', 'harrow', 'yarrow', 'farrow', 'carrow']",,narrow marrow barrow harrow yarrow farrow carrow,,,,,TRUE
ma_tin,"['martin', 'maltin']",,martin maltin,,,,,TRUE
mar_in,"['martin', 'margin', 'marlin']",,martin margin marlin,,,,,TRUE
mart_n,"['martin', 'marten']",,martin marten,,,,,TRUE
c_rcle,"['circle', 'corcle']",,circle corcle,,,,,TRUE
_orner,"['corner', 'horner', 'sorner']",,corner horner sorner,,,,,TRUE
co_ner,"['corner', 'conner', 'coiner']",,corner conner coiner,,,,,TRUE
corne_,"['corner', 'cornea', 'cornet', 'cornel']",,corner cornea cornet cornel,,,,,TRUE
se_ing,"['seeing', 'sewing']",,seeing sewing,Watching a darner,Seeing sewing,2,,TRUE
_atent,"['patent', 'latent']",,patent latent,,,0,,TRUE
p_tent,"['patent', 'potent']",,patent potent,,,0,,TRUE
pa_ent,"['patent', 'parent', 'pament']",,patent parent pament,,,,,TRUE
paten_,"['patent', 'patena']",,patent patena,,,,,TRUE
sen_or,"['senior', 'sensor', 'senhor']",,senior sensor senhor,,,0,,TRUE
_mpire,"['empire', 'umpire', 'impire']",,empire umpire impire,,,0,,TRUE
e_pire,"['empire', 'expire']",,empire expire,,,,,TRUE
_eaven,"['heaven', 'leaven']",,heaven leaven,,,,,TRUE
heave_,"['heaven', 'heaves', 'heaver']",,heaven heaves heaver,,,0,,TRUE
cho_se,"['choose', 'chouse']",,choose chouse,,,,,TRUE
